timestamp,phase,dataset,tag,results_dir,log_file,status,note
2026-06-30 09:20:09,phase3b,ALL,sweep_stage_b,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase3b/sweep_stage_b.log,OK,
2026-07-01 14:53:34,phase4,ALL,analyze,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase4/analyze.log,OK,
2026-07-01 15:13:51,phase2,ALL,placeholder,/home/ubuntu/workplace/tc2/GBGCL-main/results,N/A,SKIP,BTCM/BRSM not implemented
2026-07-02 15:39:55,phaseW,Photo,photo_0.05_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.05_50x3.log,FAIL,
2026-07-02 15:42:09,phaseW,Photo,photo_0.1_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.1_50x3.log,FAIL,
2026-07-02 15:44:22,phaseW,Photo,photo_0.2_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.2_50x3.log,FAIL,
2026-07-02 15:46:35,phaseW,Photo,photo_0.5_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.5_50x3.log,FAIL,
2026-07-02 15:48:48,phaseW,Photo,photo_1.0_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_1.0_50x3.log,FAIL,
2026-07-02 15:51:01,phaseW,Computers,computers_0.05_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.05_50x3.log,FAIL,
2026-07-02 15:53:14,phaseW,Computers,computers_0.1_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.1_50x3.log,FAIL,
2026-07-02 15:55:28,phaseW,Computers,computers_0.2_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.2_50x3.log,FAIL,
2026-07-02 15:57:40,phaseW,Computers,computers_0.5_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.5_50x3.log,FAIL,
2026-07-02 15:59:54,phaseW,Computers,computers_1.0_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_1.0_50x3.log,FAIL,
2026-07-02 16:12:58,phaseW,Photo,photo_0.05_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.05_50x3.log,OK,
2026-07-02 16:20:06,phaseW,Photo,photo_0.1_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.1_50x3.log,OK,
2026-07-02 16:27:16,phaseW,Photo,photo_0.2_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.2_50x3.log,OK,
2026-07-02 16:34:27,phaseW,Photo,photo_0.5_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_0.5_50x3.log,OK,
2026-07-02 16:41:43,phaseW,Photo,photo_1.0_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Photo_photo_1.0_50x3.log,OK,
2026-07-02 16:59:51,phaseW,Computers,computers_0.05_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.05_50x3.log,OK,
2026-07-02 17:17:17,phaseW,Computers,computers_0.1_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.1_50x3.log,OK,
2026-07-02 17:35:20,phaseW,Computers,computers_0.2_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.2_50x3.log,OK,
2026-07-02 17:53:01,phaseW,Computers,computers_0.5_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_0.5_50x3.log,OK,
2026-07-02 18:11:02,phaseW,Computers,computers_1.0_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results/phaseW_ball_weight,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseW/Computers_computers_1.0_50x3.log,OK,
2026-07-07 19:12:29,phaseR,Photo,phase0_baseline_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseR/Photo_phase0_baseline_700x5.log,OK,
2026-07-07 19:31:47,phaseR,Photo,stageB_top1_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseR/Photo_stageB_top1_700x5.log,OK,
2026-07-07 20:12:16,phaseR,Computers,phase0_baseline_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseR/Computers_phase0_baseline_700x5.log,OK,
2026-07-07 20:56:16,phaseR,Computers,stageB_top1_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phaseR/Computers_stageB_top1_700x5.log,OK,
